Coral,Bleaching,Disease,Buried,States
R2NC2-RR-2-4,0,0,0,0
R2NC2-RR-2-5,0,1,0,1
R2NC2-RR-2-6,0,0,0,0
R2NC2-RR-2-7,0,0,0,0
R2NC2-RR-2-8,0,1,0,1
R2NC2-RR-2-9,0,0,0,0
R2NC2-RR-2-10,0,0,0,0
R2NC2-RR-3-1,0,0,0,0
R2NC2-RR-3-2,0,1,0,1
R2NC2-RR-3-3,3,0,0,3
R2NC2-RR-3-4,0,1,0,1
R2NC2-RR-3-5,3,0,0,3
R2NC2-RR-3-6,3,0,0,3
R2NC2-RR-3-7,0,0,0,0
R2NC2-RR-3-8,0,0,0,0
R2NC2-RR-3-9,0,0,0,0
R2NC2-RR-3-10,0,1,0,1
R2NC3-LR-1-1,0,0,0,0
R2NC3-LR-1-2,0,0,0,0
R2NC3-LR-1-3,0,0,0,0
R2NC3-LR-1-4,0,0,0,0
R2NC3-LR-1-5,0,0,0,0
R2NC3-LR-1-6,0,0,0,0
R2NC3-LR-1-7,0,0,0,0
R2NC3-LR-1-8,0,1,0,1
R2NC3-LR-1-9,0,0,0,0
R2NC3-LR-1-10,0,1,0,1
R2NC3-LR-2-1,0,0,0,0
R2NC3-LR-2-2,0,0,0,0
R2NC3-LR-2-3,0,0,0,0
R2NC3-LR-2-4,0,0,0,0
R2NC3-LR-2-5,0,0,0,0
R2NC3-LR-2-6,0,0,0,0
R2NC3-LR-2-7,0,0,0,0
R2NC3-LR-2-8,0,0,0,0
R2NC3-LR-2-9,0,0,0,0
R2NC3-LR-2-10,0,0,0,0
R2S2-LR-1-1,0,0,0,0
R2S2-LR-1-2,0,1,0,1
R2S2-LR-1-3,0,1,0,1
R2S2-LR-1-4,0,1,0,1
R2S2-LR-1-5,0,0,0,0
R2S2-LR-1-6,0,1,0,1
R2S2-LR-1-7,0,0,0,0
R2S2-LR-1-8,0,0,0,0
R2S2-LR-2-1,0,1,0,1
R2S2-LR-2-2,0,0,5,5
R2S2-LR-2-3,3,0,0,3
