ID,Dredge,Direction,Tran,Site,Habitat,Species,Mortality,surv.time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,20,21
HBS2-CP-2-9,channel,S,11,4,1,SBOU,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS2-CP-2-10,channel,S,11,4,1,SBOU,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS2-CP-3-1,channel,S,12,4,1,SBOU,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS2-CP-3-4,channel,S,12,4,1,DSTO,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS4-CR-1-1,channel,S,13,5,1,MMEA,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS4-CR-1-3,channel,S,13,5,1,SBOU,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS4-CR-1-4,channel,S,13,5,1,DSTO,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS4-CR-1-5,channel,S,13,5,1,SBOU,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS4-CR-1-6,channel,S,13,5,1,DSTO,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS4-CR-1-7,channel,S,13,5,1,DSTO,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS4-CR-1-8,channel,S,13,5,1,DSTO,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS4-CR-2-2,channel,S,14,5,1,DSTO,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS4-CR-2-3,channel,S,14,5,1,DSTO,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS4-CR-2-4,channel,S,14,5,1,SBOU,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS4-CR-2-5,channel,S,14,5,1,SBOU,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
HBS4-CR-2-7,channel,S,14,5,1,DSTO,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HBS4-CR-2-8,channel,S,14,5,1,DSTO,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS4-CR-3-1,channel,S,15,5,1,DSTO,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS4-CR-3-2,channel,S,15,5,1,DSTO,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS4-CR-3-3,channel,S,15,5,1,SBOU,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS4-CR-3-4,channel,S,15,5,1,DSTO,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS4-CR-3-5,channel,S,15,5,1,DSTO,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS4-CR-3-6,channel,S,15,5,1,SBOU,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS4-CR-3-7,channel,S,15,5,1,DSTO,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS4-CR-3-8,channel,S,15,5,1,DSTO,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
R2S1-RR-1-1,channel,S,16,6,2,MCAV,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-1-2,channel,S,16,6,2,MMEA,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
R2S1-RR-1-3,channel,S,16,6,2,MCAV,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
